,Asus ExpertBook B9 B9403CVA-KM0153X,Lenovo ThinkPad X1 Carbon G12,HP EliteBook 845 G10 5Z4X0ES,Lenovo ThinkPad T14 G4 21K4S02000,Lenovo ThinkPad T16 G2 21HH003AGE,Lenovo ThinkPad X1 Nano Gen 3,HP EliteBook x360 830 G10 7L7U1ET,Lenovo ThinkPad X1 2in1 G9 21KE004AGE,Lenovo ThinkPad T14s Gen 6 21N10007GE,Lenovo ThinkPad X13 Gen 4 21J3001VGE,"Lenovo ThinkPad T14s Gen 5 21LS001PGE
Graphics 4-Core, Ultra 5 125U, WD PC SN740 SDDQNQD-512G-1014","Dell Latitude 13 7350
Graphics 4-Core, Ultra 5 135U, Kioxia BG6 KBG60ZNS512G","HP EliteBook Ultra G1q 14
Adreno X1-85 3.8 TFLOPS, SD X Elite X1E-78-100, SK hynix PC801 HFS512GEJ9X101N BF"
Display,
Display P3 Coverage,99.9,99.7,70.6,67.1,67,68.5,63.2,99.9,,65.3,67.8,66.5,
sRGB Coverage,100,100,100,97.8,96.9,99.5,92.7,100,,96.1,99.2,96.9,
AdobeRGB 1998 Coverage,93.6,98.2,72.4,69.4,69.3,69.7,65.1,97.6,,66.8,70,68.6,
Response Times,
Response Time Grey 50% / Grey 80% *,2 ?,0.91 ?,59.7 ?,38.4 ?,32 ?,39.9 ?,39.8 ?,0.61 ?,48.1 ?,48.9 ?,35.3 ?,53 ?,22.8 ?
Response Time Black / White *,2 ?,0.76 ?,25.5 ?,25.1 ?,20 ?,25.8 ?,26.8 ?,0.69 ?,24 ?,28.6 ?,27.4 ?,32.9 ?,17.9 ?
PWM Frequency,360 ?,240.3,,,,,,240 ?,,,,,
Screen,
Brightness middle,389.9,417,409,398,446,461.2,394,412,497,373,406,470.7,341.4
Brightness,390,417,391,379,414,428,372,411,478,354,402,448,315
Brightness Distribution,99,98,92,90,86,86,84,98,90,86,93,92,87
Black Level *,0.0497,,0.27,0.23,0.32,0.29,0.17,,0.27,0.28,0.22,0.27,0.39
Contrast,7845,,1515,1730,1394,1590,2318,,1841,1332,1845,1743,875
Colorchecker dE 2000 *,2.22,1.26,2.3,1.3,1.5,1.79,4.1,1.9,3.2,3.1,2,3.31,5.63
Colorchecker dE 2000 max. *,3.75,3.6,4.4,3.1,2.2,3.3,8.3,3.9,7.7,7,5.1,5.16,11.94
Greyscale dE 2000 *,2.4,1.3,2.4,1.4,1.6,1.8,6.6,1,4.4,5.4,2.4,3.4,8.8
Gamma,2.187 101%,2.27 97%,2.06 107%,2.26 97%,2.24 98%,2.24 98%,2.17 101%,2.21 100%,2.16 102%,2.19 100%,2.12 104%,2 110%,2.14 103%
CCT,6426 101%,6355 102%,6293 103%,6448 101%,6482 100%,6588 99%,6019 108%,6361 102%,6119 106%,6750 96%,6244 104%,6133 106%,6034 108%
Colorchecker dE 2000 calibrated *,,0.68,0.9,1.2,1,0.47,,1.9,,0.9,0.6,0.8,
Noise,
off / environment *,24.9,23.8,22.9,23.1,24,22.9,23.2,24.5,24.8,24.6,24.4,23.3,23.4
Idle Minimum *,24.9,24,22.9,23.1,24,23,23.2,24.5,24.8,24.6,24.4,23.3,23.4
Idle Average *,24.9,24,22.9,23.1,24,23,23.2,28,24.8,24.6,24.4,26.6,23.4
Idle Maximum *,24.9,24,22.9,23.1,26.8,23,23.2,29.8,24.8,26.2,24.4,27.7,24.3
Load Average *,33,31.5,24.3,26.5,26.8,32.8,29.4,41.7,36.5,26.9,32.6,30.5,25
Load Maximum *,45,37.8,33.9,35.78,38.6,36.9,42.5,41.7,41.8,40.9,39.5,41.9,34.8
Witcher 3 ultra *,,37.8,32.4,35.7,38.9,36.9,42.3,41.7,,,,34.8,30.6
Cyberpunk 2077 ultra *,,,,,,,,,42.3,40.8,39.9,,
Heat,
Maximum Upper Side *,48.8,44.2,45.4,43.5,40.5,44,40.2,42.9,48,50.2,40.2,35.2,40.8
Maximum Bottom *,56.5,41.2,50.6,47.4,42.7,43.2,42.4,43.6,50.7,45.1,39,37.8,40.4
Idle Upper Side *,33.3,29.4,26.8,24.9,28.2,25.6,30,24.4,29.4,27.7,26,25,32.2
Idle Bottom *,35,31.2,26.8,26,28,25.6,31.8,24.9,30,26.1,25.8,25.2,31.2
Battery Runtime,
WiFi v1.3,614,466,779,729,690,465,552,509,1349,607,712,905,792
Load,135,70,81,100,154,,111,89,111,98,117,,124
Reader / Idle,,1069,,,1169,,,,,,,,1222
Power Consumption,
Idle Minimum *,4.9,3.9,3.2,3.3,3.1,3.3,4.5,7.3,2.4,3,2.3,2,2.5
Idle Average *,12.5,5.8,5.1,5.6,6.4,6.5,6,10.1,4.9,5.2,5.1,4.4,5.7
Idle Maximum *,16.8,16,5.4,6.1,6.8,7.1,6.5,10.4,6.1,6.5,6.7,4.6,5.8
Load Average *,43.8,46.1,39.1,40.1,29.3,40.7,36.7,45.7,,27,37.5,34.8,24.2
Witcher 3 ultra *,41.2,50.4,39.8,41.4,41.5,37,40.2,35.2,,,,28.5,23.1
Load Maximum *,68.1,67.4,46.6,51.8,64.6,58.6,66.3,64.1,66.9,52.3,68.4,63.3,66.4
Cyberpunk 2077 ultra external monitor *,,,,,,,,,27.9,36.8,41.4,,26.8
Cyberpunk 2077 ultra *,,,,,,,,,30.2,37.6,37.8,,33.5
