Position,Display Rating,Total Rating,Date,Image,Model,Screen,Size,Resolution,PPI,Ratio,Surface,Color Temperature (CCT),Uniformity,PWM (Hz),Response Time B/W (ms),Response Time G/G (ms),Brightness avg.,Black Level,Contrast (max.),DeltaE Colorchecker,DeltaE Grayscale,Gamma,sRGB Coverage,Adobe RGB Coverage
1,94.6 %,88.3 %,02/2024,,Asus ROG Strix Scar 18 G834JYR (2024),Mini LED,"18.00""",2560x1600,168 PPI,16:10,matte,6578,89 %,5733,10.7,12,934 cd/m²,0.066 cd/m²,14197:1,1.52,1.7,2.042,,
2,94.4 %,93.2 %,11/2023,,Apple MacBook Pro 16 2023 M3 Max,Mini-LED,"16.00""",3456x2234,257 PPI,16:10,glossy,6812,94 %,14877,43.6,66.9,604 cd/m²,0 cd/m²,,1.2,1.9,2.29,,
3,94.4 %,93.7 %,11/2023,,Apple MacBook Pro 16 2023 M3 Pro,Mini-LED,"16.20""",3456x2234,254 PPI,16:10,glossy,,,,,,, cd/m²,,,,,,
4,94 %,90.2 %,10/2023,,Lenovo Legion 9 16IRX8,Mini-LED,"16.00""",3200x2000,236 PPI,16:10,matte,6799,96 %,4742,11.6,13.3,682 cd/m²,0.04 cd/m²,16873:1,2.56,3,2.38,,
5,94 %,89.5 %,03/2024,,Lenovo Legion Pro 7 16IRX9H,IPS,"16.00""",2560x1600,189 PPI,16:10,matte,6809,88 %,0,5.8,12.6,460 cd/m²,0.42 cd/m²,1160:1,1.12,1.4,2.242,,
6,93.9 %,88.4 %,02/2024,,HP Omen Transcend 16-u1095ng,OLED,"16.00""",2560x1600,189 PPI,16:10,matte,6395,98 %,120,0.2,0.2,392 cd/m²,0.02 cd/m²,19500:1,1.94,1.5,2.221,,
7,93.9 %,88.9 %,02/2024,,Valve Steam Deck 1 TB OLED,OLED,"7.40""",1280x800,204 PPI,16:10,matte,6336,98 %,360,9,9,482 cd/m²,0.03 cd/m²,16167:1,2,2,2,,
8,93.7 %,89.1 %,01/2024,,Lenovo Legion 5 16IRX G9,IPS,"16.00""",2560x1600,189 PPI,16:10,matte,6391,87 %,0,8.7,12.5,500 cd/m²,0.33 cd/m²,1594:1,1.2,1.3,2.23,,
9,93.7 %,88.7 %,04/2024,,Lenovo Yoga Pro 9 16IMH9,Mini-LED,"16.00""",3200x2000,236 PPI,16:10,matte,6738,93 %,4840,17,22.2,673 cd/m²,0.22 cd/m²,2959:1,1.9,3,2.18,,
10,93.5 %,93 %,02/2024,,Asus ROG Zephyrus G14 2024 GA403U,OLED,"14.00""",2880x1800,243 PPI,16:10,glossy,6505,98 %,960,0.68,0.62,424 cd/m²,0.01 cd/m²,42300:1,0.7,0.8,2.18,,
11,93.4 %,92.8 %,11/2023,,Apple MacBook Pro 14 2023 M3 Max,Mini-LED,"14.20""",3024x1964,254 PPI,16:10,glossy,6874,96 %,14878,78.8,80.8,600 cd/m²,0 cd/m²,,1.7,2.1,2.22,,
12,93.4 %,93.2 %,12/2023,,Apple MacBook Pro 14 2023 M3 Pro,Mini-LED,"14.20""",3024x1964,254 PPI,16:10,glossy,,,,,,, cd/m²,,,,,,
13,93.4 %,90.1 %,05/2024,,Lenovo ThinkBook 13x G4 21KR0008GE,IPS,"13.50""",2880x1920,256 PPI,3:2,matte,6710,89 %,0,12.8,27.3,513 cd/m²,0.38 cd/m²,1418:1,1.4,2.2,2.19,,
14,93.3 %,87.6 %,04/2024,,Asus ROG Strix Scar 16 G634JZR,Mini LED,"16.00""",2560x1600,189 PPI,16:10,matte,6724,94 %,2040,10.4,5,487 cd/m²,0.4 cd/m²,1225:1,1.08,1.1,2.13,,
15,93.3 %,89 %,06/2024,,Huawei MateBook X Pro 2024,OLED,"14.20""",3120x2080,264 PPI,3:2,glossy,6447,93 %,1440,0.49,0.75,624 cd/m²,0 cd/m²,,1.9,2.1,2.2,,
16,93.2 %,91.1 %,02/2024,,"Razer Blade 16 2024, RTX 4090",OLED,"16.00""",2560x1600,189 PPI,16:10,glossy,6417,98 %,960,0.4,0.24,420 cd/m²,0.02 cd/m²,20900:1,1.07,1.12,2.29,,
17,93.2 %,88.9 %,04/2024,,Samsung Galaxy Book4 Pro 16,OLED,"16.00""",2880x1800,212 PPI,16:10,glossy,6444,97 %,240,0.68,0.64,391 cd/m²,0 cd/m²,,1.1,1.4,2.24,,
18,93.1 %,91.7 %,10/2023,,Lenovo ThinkPad P1 G6-21FV000DGE,IPS,"16.00""",2560x1600,189 PPI,16:10,matte,6682,89 %,0,9.6,13.7,484 cd/m²,0.36 cd/m²,1447:1,1.2,1.4,2.25,,
19,93.1 %,87.8 %,03/2024,,Samsung Galaxy Book4 Pro 360,OLED,"16.00""",2880x1800,212 PPI,16:10,glossy,6325,98 %,240,0.67,0.49,392 cd/m²,0 cd/m²,,1,1.7,2.25,,
20,92.8 %,90.8 %,04/2024,,Lenovo Legion 7 16 IRX G9,IPS,"16.00""",3200x2000,236 PPI,16:10,matte,6731,89 %,0,7.2,14.4,396 cd/m²,0.43 cd/m²,958:1,0.9,1.4,2.23,,
21,92.7 %,90 %,03/2024,,Honor MagicBook Pro 16 2024,IPS,"16.00""",3072x1920,226 PPI,16:10,matte,6842,91 %,0,5.6,6.3,524 cd/m²,0.52 cd/m²,1060:1,1.7,2.4,2.2,,
22,92.6 %,90.5 %,05/2024,,Razer Blade 18 2024 RZ09-0509,Mini-LED,"18.00""",2560x1600,168 PPI,16:10,matte,6843,97 %,26444,14,7.6,600 cd/m²,0.62 cd/m²,976:1,1.53,2.6,2.22,,
23,92.4 %,92.3 %,09/2023,,HP ZBook Fury 16 G10,IPS,"16.00""",3840x2400,283 PPI,16:10,matte,6553,90 %,0,9.6,11.9,495 cd/m²,0.46 cd/m²,1119:1,2.4,1,2.3,,
24,92.4 %,90.4 %,12/2023,,Lenovo ThinkPad T14 G4 21K4S02000,IPS LED,"14.00""",1920x1200,162 PPI,16:10,matte,6448,90 %,0,25.1,38.4,379 cd/m²,0.23 cd/m²,1730:1,1.3,1.4,2.26,,
25,92.4 %,87.4 %,04/2024,,Samsung Galaxy Book4 Pro 14,OLED,"14.00""",2880x1800,243 PPI,16:10,matte,6517,97 %,240,0.69,0.83,398 cd/m²,0 cd/m²,,1.3,2.3,2.24,,
26,92.3 %,87.3 %,09/2023,,Lenovo LOQ 16IRH8,IPS,"16.00""",2560x1600,189 PPI,16:10,matte,6526,85 %,0,7.4,7.2,369 cd/m²,0.45 cd/m²,904:1,1.43,1.13,2.5,,
27,92.3 %,90.4 %,11/2023,,Lenovo Legion Slim 7 16APH8,IPS,"16.00""",2560x1600,189 PPI,16:10,matte,6631,82 %,0,5.9,12.6,502 cd/m²,0.48 cd/m²,1135:1,1.36,1.4,2.253,,
28,92.2 %,89.6 %,01/2024,,Framework Laptop 16,,"16.00""",2560x1600,189 PPI,16:10,matte,6670,84 %,0,11.3,14.6,490 cd/m²,0.41 cd/m²,1231:1,1.23,2,2.22,,
29,92.2 %,89.7 %,02/2024,,Razer Blade 14 RZ09-0508,IPS,"14.00""",2560x1600,216 PPI,16:10,matte,6816,89 %,0,8.3,6,466 cd/m²,0.38 cd/m²,1274:1,2.23,1.6,2.24,,
30,92.2 %,89.3 %,03/2024,,Lenovo Legion Pro 5 16IRX9,IPS,"16.00""",2560x1600,189 PPI,16:10,matte,6709,91 %,0,8.9,11.9,366 cd/m²,0.35 cd/m²,1097:1,0.97,1.5,2.24,,
31,92.1 %,88.2 %,01/2024,,SCHENKER Vision 14 M23 RTX 3050,IPS,"14.00""",2880x1800,243 PPI,16:10,matte,,,,,,, cd/m²,,,,,,
32,92.1 %,84.9 %,02/2024,,Asus VivoBook S15 K5504,OLED,"15.60""",2880x1620,,16:9,glossy,6536,96 %,240,2,2,376 cd/m²,0.02 cd/m²,18520:1,1.51,2.1,2.2,,
33,92.1 %,90.8 %,02/2024,,Lenovo ThinkPad X1 Carbon G12,OLED,"14.00""",2880x1800,243 PPI,16:10,glossy,6355,98 %,240.3,0.76,0.91,417 cd/m²,0 cd/m²,,1.26,1.3,2.27,,
