#,Test,Rating,Date,Image,Model,Height,Weight,Size,Resolution,Screen,Best Price
1,v8,86.1 %,07/2024,,"Asus ROG Zephyrus G16 GU605MY, Intel Core Ultra 9 185H, NVIDIA GeForce RTX 4090 Laptop GPU, 32 GB Memory, 2048 GB SSD",16.4 mm,1.9 kg,"16.00""",2560x1600,glossy,from EUR 4300
2,v8,85.5 %,06/2024,,"SCHENKER XMG Neo 16 (Early 24), Intel Core i9-14900HX, NVIDIA GeForce RTX 4090 Laptop GPU, 32 GB Memory, 1024 GB SSD",26.6 mm,2.5 kg,"16.00""",2560x1600,matte,from EUR 3800
3,v8,83.9 %,06/2024,,"Lenovo Legion 9 16IRX9, RTX 4090, Intel Core i9-14900HX, NVIDIA GeForce RTX 4090 Laptop GPU, 64 GB Memory, 2048 GB SSD",22.7 mm,2.5 kg,"16.00""",3200x2000,matte,from EUR 4349
4,v8,83.7 %,06/2024,,"SCHENKER XMG Core 15 (M24), AMD Ryzen 7 8845HS, NVIDIA GeForce RTX 4060 Laptop GPU, 32 GB Memory, 1024 GB SSD",21.9 mm,2.1 kg,"15.30""",2560x1600,matte,
5,v8,82.3 %,07/2024,,"Lenovo Legion Pro 5 16IRX9, i7-14700HX, RTX 4060, Intel Core i7-14700HX, NVIDIA GeForce RTX 4060 Laptop GPU, 32 GB Memory, 1024 GB SSD",26.55 mm,2.5 kg,"16.00""",2560x1600,matte,from EUR 1.432
6,v8,81.2 %,"07/2024, New!",,"SCHENKER XMG Pro 16 Studio (Mid 24), Intel Core i9-14900HX, NVIDIA GeForce RTX 4070 Laptop GPU, 32 GB Memory, 1024 GB SSD",19.9 mm,2.3 kg,"16.00""",2560x1600,matte,
7,v8,80.7 %,,"Tuxedo Sirius 16 Gen 1, AMD Ryzen 7 7840HS, AMD Radeon RX 7600M XT, 32 GB Memory, 1024 GB SSD",22 mm,2.3 kg,"16.10""",2560x1440,matte,
8,v8,80.4 %,"07/2024, New!",,"HP Omen 17-db0079ng, AMD Ryzen 7 8845HS, NVIDIA GeForce RTX 4070 Laptop GPU, 32 GB Memory, 1024 GB SSD",30.1 mm,2.8 kg,"17.30""",2560x1440,matte,
9,v8,80.3 %,"07/2024, New!",,"Asus TUF Gaming A15 FA507UV, AMD Ryzen 9 8945H, NVIDIA GeForce RTX 4060 Laptop GPU, 16 GB Memory, 1024 GB SSD",22.4 mm,2.1 kg,"15.60""",1920x1080,matte,
10,v8,79 %,07/2024,,"Lenovo LOQ 15IRX9, Intel Core i5-13450HX, NVIDIA GeForce RTX 4060 Laptop GPU, 16 GB Memory, 1024 GB SSD",23.9 mm,2.4 kg,"15.60""",1920x1080,matte,from EUR 1149
Position,Total Rating,Rating,Date,Image,Model,Height,Weight,Size,Resolution,Screen,Best Price
1,v7 (old),93 %,02/2024,,"Asus ROG Zephyrus G14 2024 GA403U, AMD Ryzen 9 8945HS, NVIDIA GeForce RTX 4070 Laptop GPU, 32 GB Memory, 1024 GB SSD",16.3 mm,1.5 kg,"14.00""",2880x1800,glossy,from EUR 2499
2,v7 (old),92.3 %,02/2024,,"Asus ROG Zephyrus G16 2024 GU605M, Intel Core Ultra 7 155H, NVIDIA GeForce RTX 4070 Laptop GPU, 16 GB Memory, 1024 GB SSD",16.4 mm,1.8 kg,"16.00""",2560x1600,glossy,
3,v7 (old),91.7 %,06/2024,,"Lenovo Yoga Pro 9 16IMH9 RTX 4050, Intel Core Ultra 9 185H, NVIDIA GeForce RTX 4050 Laptop GPU, 32 GB Memory, 1024 GB SSD",18.3 mm,2.1 kg,"16.00""",3200x2000,glossy,from EUR 1900
4,v7 (old),91.1 %,02/2024,,"Razer Blade 16 2024, RTX 4090, Intel Core i9-14900HX, NVIDIA GeForce RTX 4090 Laptop GPU, 32 GB Memory, 2048 GB SSD",22 mm,2.5 kg,"16.00""",2560x1600,glossy,from EUR 4850
5,v7 (old),90.8 %,04/2024,,"Lenovo Legion 7 16 IRX G9, Intel Core i9-14900HX, NVIDIA GeForce RTX 4070 Laptop GPU, 32 GB Memory, 1024 GB SSD",19.8 mm,2.3 kg,"16.00""",3200x2000,matte,from EUR 2249
6,v7 (old),90.5 %,05/2024,,"Razer Blade 18 2024 RZ09-0509, Intel Core i9-14900HX, NVIDIA GeForce RTX 4090 Laptop GPU, 32 GB Memory",21.9 mm,3.1 kg,"18.00""",2560x1600,matte,from EUR 4500
7,v7 (old),90.5 %,11/2023,,"Asus Zenbook Pro 16X UX7602BZ-MY005W, Intel Core i9-13905H, NVIDIA GeForce RTX 4080 Laptop GPU, 32 GB Memory, 2048 GB SSD",17.8 mm,2.4 kg,"16.00""",3200x2000,glossy,from EUR 4300
8,v7 (old),90.2 %,03/2024,,"Alienware m16 R2, Intel Core Ultra 7 155H, NVIDIA GeForce RTX 4070 Laptop GPU, 16 GB Memory, 1024 GB SSD",23.5 mm,2.5 kg,"16.00""",2560x1600,matte,from EUR 1850
9,v7 (old),90.2 %,10/2023,,"Lenovo Legion 9 16IRX8, Intel Core i9-13980HX, NVIDIA GeForce RTX 4090 Laptop GPU, 32 GB Memory, 2048 GB SSD",22.7 mm,2.6 kg,"16.00""",3200x2000,matte,from EUR 5500
10,v7 (old),89.7 %,02/2024,,"Razer Blade 14 RZ09-0508, AMD Ryzen 9 8945HS, NVIDIA GeForce RTX 4070 Laptop GPU, 32 GB Memory, 1024 GB SSD",17.99 mm,1.9 kg,"14.00""",2560x1600,matte,from EUR 2700
