,Asus ProArt P16 H7606WI,Asus Zenbook S16 UM5606,SCHENKER XMG Evo 15 (M24),Dell Inspiron 16 Plus 7640,LG gram Pro 16Z90SP,Samsung Galaxy Book4 Edge 16,Medion S10 OLED,Lenovo IdeaPad Slim 5 16IRU9
Display,
Display P3 Coverage,99.9,99.9,73.6,76,99.8,99.5,99.9,41.5
sRGB Coverage,100,100,100,99.8,100,100,100,61.2
AdobeRGB 1998 Coverage,99.1,95.6,74.2,76.7,94.6,97.5,98.6,42.9
Response Times,
Response Time Grey 50% / Grey 80% *,1.58 ?,0.56 ?,4.6 ?,25.6 ?,6 ?,0.64 ?,1.7 ?,20.7 ?
Response Time Black / White *,1.25 ?,0.65 ?,6.6 ?,17.6 ?,14 ?,0.68 ?,1.4 ?,15.1 ?
PWM Frequency,240 ?,480,,,481,240 ?,60 ?,
Screen,
Brightness middle,355,407,608,314.7,420,385,307,313.3
Brightness,360,405,585,291,421,391,307,308
Brightness Distribution,98,97,93,89,99,97,96,91
Black Level *,,0.02,0.61,0.28,0.006,,0.01,0.37
Colorchecker dE 2000 *,1.2,0.6,2.1,1.62,1.66,1.1,2.1,8.42
Colorchecker dE 2000 max. *,2.6,1.2,4.3,2.94,4.92,1.8,4.87,19.09
Greyscale dE 2000 *,1.2,0.5,2.7,1.3,1.3,1.4,0.9,8.3
Gamma,2.14 103%,2.2 100%,2.2 100%,2.26 97%,2.27 97%,2.24 98%,2.197 100%,2.83 78%
CCT,6526 100%,6453 101%,6168 105%,6385 102%,6609 98%,6444 101%,6513 100%,6296 103%
Contrast,,20350,997,1124,70000,,30700,847
Colorchecker dE 2000 calibrated *,,,1.2,1.08,3.39,,2.08,2.16
Noise,
off / environment *,24.4,24.7,24.7,23.8,25.2,24.6,25,23
Idle Minimum *,24.4,24.7,24.7,24.2,25.2,24.6,26,23
Idle Average *,27.7,24.7,24.7,24.2,26.3,24.6,27,23
Idle Maximum *,32.3,26.4,28.9,24.2,26.7,24.6,28,23
Load Average *,42.2,35.7,32.7,28.9,31.8,28.1,43,43.3
Cyberpunk 2077 ultra *,53.2,36.8,40.4,,52,32.4,42,40.8
Load Maximum *,53.2,36.8,40.4,51,45.1,32.4,48,40.9
Witcher 3 ultra *,,,,51,,,,
Heat,
Maximum Upper Side *,46.9,46.9,41.7,43.4,49,44.3,55,35.4
Maximum Bottom *,50.9,53.5,49.6,41.6,48.5,51.6,55,33
Idle Upper Side *,28.9,29.5,31.1,32.8,33.5,25.1,32,30.2
Idle Bottom *,30,30.2,33.1,32.4,35,25.8,33,30.2
Battery Runtime,
WiFi v1.3,499,640,625,799,686,443,436,761
Load,116,107,134,,,117,,94
Reader / Idle,,,,,,,,1568
Power Consumption,
Idle Minimum *,8,5.4,7.7,4.2,10.15,4.2,7,3.3
Idle Average *,9.9,10.5,13.2,6.9,11.65,5.6,10,7.5
Idle Maximum *,11.6,10.9,13.7,15.2,14.33,7.8,19,7.8
Load Average *,76.9,47.8,76.2,70.4,67.5,28.3,52,56.9
Cyberpunk 2077 ultra *,157.7,49.2,76.7,,85.3,38.8,53.2,48.7
Cyberpunk 2077 ultra external monitor *,156.6,46.7,72.7,,,38.2,49.2,41.2
Load Maximum *,212.6,58.6,78.1,137.4,91.7,61.9,95,62.4
Witcher 3 ultra *,,,,115.9,,,,
