
#,Test,Rating,Date,Image,Model,Height,Weight,Size,Resolution,Screen
1,v8,83.4 %,06/2024,,"Dell Inspiron 16 Plus 7640, Intel Core Ultra 7 155H, NVIDIA GeForce RTX 4060 Laptop GPU, 16 GB Memory, 1024 GB SSD",19.9 mm,2.2 kg,"16.00""",2560x1600,matte
2,v8,82.3 %,07/2024,,"Lenovo Legion Pro 5 16IRX9, i7-14700HX, RTX 4060, Intel Core i7-14700HX, NVIDIA GeForce RTX 4060 Laptop GPU, 32 GB Memory, 1024 GB SSD",26.55 mm,2.5 kg,"16.00""",2560x1600,matte
3,v8,80.3 %,"07/2024, New!",,"Asus TUF Gaming A15 FA507UV, AMD Ryzen 9 8945H, NVIDIA GeForce RTX 4060 Laptop GPU, 16 GB Memory, 1024 GB SSD",22.4 mm,2.1 kg,"15.60""",1920x1080,matte
4,v8,79 %,07/2024,,"Lenovo LOQ 15IRX9, Intel Core i5-13450HX, NVIDIA GeForce RTX 4060 Laptop GPU, 16 GB Memory, 1024 GB SSD",23.9 mm,2.4 kg,"15.60""",1920x1080,matte

Position,Total Rating,Date,Image,Model,Height,Weight,Size,Resolution,Screen
1,89 %,08/2023,,"Lenovo Legion Pro 5 16ARX8 (R5 7645HX, RTX 4050), AMD Ryzen 5 7645HX, NVIDIA GeForce RTX 4050 Laptop GPU, 16 GB Memory, 512 GB SSD",27.3 mm,2.5 kg,"16.00""",2560x1600,matte
2,87.3 %,09/2023,,"Lenovo LOQ 16IRH8, Intel Core i7-13620H, NVIDIA GeForce RTX 4060 Laptop GPU, 16 GB Memory, 512 GB SSD",25.9 mm,2.7 kg,"16.00""",2560x1600,matte
3,86.7 %,08/2023,,"Acer Nitro 16 AN16-41-R7YE, AMD Ryzen 5 7535HS, NVIDIA GeForce RTX 4050 Laptop GPU, 16 GB Memory, 512 GB SSD",27.9 mm,2.6 kg,"16.00""",1920x1200,matte
4,86.6 %,12/2023,,"Aorus 15 YE5-54DEB34SH, Intel Core i5-12500H, NVIDIA GeForce RTX 3080 Ti Laptop GPU, 16 GB Memory, 1024 GB SSD",27 mm,2.3 kg,"15.60""",2560x1440,matte
5,86.3 %,05/2024,,"Tulpar T7 V20.6, Intel Core i7-13700H, NVIDIA GeForce RTX 4060 Laptop GPU, 16 GB Memory, 512 GB SSD",30.05 mm,2.6 kg,"17.30""",1920x1080,matte
6,86.2 %,10/2023,,"SCHENKER XMG Apex 15 (Late 23), AMD Ryzen 7 7840HS, NVIDIA GeForce RTX 4050 Laptop GPU, 32 GB Memory, 1024 GB SSD",26.7 mm,2.2 kg,"15.60""",2560x1440,matte
7,85.9 %,10/2023,,"Lenovo LOQ 15IRH8 Core i7, Intel Core i7-13620H, NVIDIA GeForce RTX 4050 Laptop GPU, 16 GB Memory, 512 GB SSD",25.2 mm,2.4 kg,"15.60""",2560x1440,matte
8,85.7 %,09/2023,,"Captiva Advanced Gaming I74-121, Intel Core i5-13500H, NVIDIA GeForce RTX 4060 Laptop GPU, 16 GB Memory, 1024 GB SSD",29 mm,2.3 kg,"15.60""",1920x1080,matte
9,85.6 %,01/2024,,"Asus TUF Gaming A17 FA707XI-NS94, AMD Ryzen 9 7940HS, NVIDIA GeForce RTX 4070 Laptop GPU, 16 GB Memory, 1024 GB SSD",25.4 mm,2.5 kg,"17.30""",1920x1080,matte
10,85.5 %,02/2024,,"Dell G16, i7-13650HX, RTX 4060, Intel Core i7-13650HX, NVIDIA GeForce RTX 4060 Laptop GPU, 16 GB Memory, 1024 GB SSD",25.65 mm,2.8 kg,"16.00""",2560x1600,matte
