#,Version,Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen,Position,Total Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen

1,v8,74.7 %,"07/2024
New!",,"Lenovo IdeaPad Slim 5 16IRU9
Intel Core 7 150U
Intel Iris Xe Graphics G7 96EUs
16 GB Memory",1.8 kg,16.9 mm,"16.00""",1920x1200,
2,v8,66.7 %,"08/2024
New!",,"Lenovo IdeaPad Slim 3i 15IRU9
Intel Core 5 120U
Intel Iris Xe Graphics G7 80EUs
16 GB Memory, 1024 GB SSD",1.6 kg,17.9 mm,"15.60""",1920x1080,matte
#,Version,Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen,Position,Total Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen

1,89.7 %,04/2024,,"Xiaomi RedmiBook Pro 16 2024
Intel Core Ultra 7 155H
Intel Arc 8-Core iGPU
32 GB Memory, 1024 GB SSD",1.9 kg,15.9 mm,"16.00""",3072x1920,matte
2,87.8 %,11/2023,,"HP Pavilion Plus 14-ey0095cl
AMD Ryzen 7 7840U
AMD Radeon 780M
16 GB Memory, 1024 GB SSD",1.4 kg,18.8 mm,"14.00""",2880x1800,glossy
3,86.2 %,07/2022,,"Acer Swift X SFX16-51G-5388
Intel Core i5-11320H
NVIDIA GeForce RTX 3050 4GB Laptop GPU
16 GB Memory, 512 GB SSD",1.8 kg,18.9 mm,"16.10""",1920x1080,matte
4,85.7 %,09/2022,,"Lenovo IdeaPad 5 Pro 16ARH7
AMD Ryzen 5 6600HS
AMD Radeon 660M
16 GB Memory, 512 GB SSD",1.9 kg,18.4 mm,"16.00""",2560x1600,matte
5,85.6 %,08/2022,,"HP Envy 14-eb0252ng
Intel Core i5-1135G7
Intel Iris Xe Graphics G7 80EUs
8 GB Memory, 1024 GB SSD",1.5 kg,17.9 mm,"14.00""",1920x1200,matte
6,85.3 %,06/2023,,"Asus ZenBook 14 UM3402Y
AMD Ryzen 7 7730U
AMD Radeon RX Vega 8 (Ryzen 4000/5000)
16 GB Memory, 512 GB SSD",1.4 kg,16.9 mm,"14.00""",2880x1800,glossy
7,83.5 %,07/2022,,"Dell Inspiron 15 Plus
Intel Core i5-11400H
NVIDIA GeForce RTX 3050 4GB Laptop GPU
8 GB Memory, 512 GB SSD",1.9 kg,19 mm,"15.60""",1920x1080,matte
8,83.2 %,02/2023,,"Asus VivoBook S15 M3502RA-L1029W
AMD Ryzen 7 6800H
AMD Radeon 680M
16 GB Memory, 512 GB SSD",1.9 kg,18.8 mm,"15.60""",1920x1080,glossy
9,82.6 %,08/2022,,"Asus ZenBook 14 UM425U
AMD Ryzen 7 5700U
AMD Radeon RX Vega 8 (Ryzen 4000/5000)
8 GB Memory, 512 GB SSD",1.2 kg,15.3 mm,"14.00""",1920x1080,matte
10,82.6 %,05/2022,,"Huawei MateBook D 15 Ryzen 5 5500U
AMD Ryzen 5 5500U
AMD Radeon RX Vega 7
8 GB Memory, 512 GB SSD",1.6 kg,16.9 mm,"15.60""",1920x1080,matte
#,Version,Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen,Position,Total Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen

1,v8,74.7 %,"07/2024
New!",,"Lenovo IdeaPad Slim 5 16IRU9
Intel Core 7 150U
Intel Iris Xe Graphics G7 96EUs
16 GB Memory",1.8 kg,16.9 mm,"16.00""",1920x1200,
2,v8,66.7 %,"08/2024
New!",,"Lenovo IdeaPad Slim 3i 15IRU9
Intel Core 5 120U
Intel Iris Xe Graphics G7 80EUs
16 GB Memory, 1024 GB SSD",1.6 kg,17.9 mm,"15.60""",1920x1080,matte
#,Version,Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen,Position,Total Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen

1,89.7 %,04/2024,,"Xiaomi RedmiBook Pro 16 2024
Intel Core Ultra 7 155H
Intel Arc 8-Core iGPU
32 GB Memory, 1024 GB SSD",1.9 kg,15.9 mm,"16.00""",3072x1920,matte
2,87.8 %,11/2023,,"HP Pavilion Plus 14-ey0095cl
AMD Ryzen 7 7840U
AMD Radeon 780M
16 GB Memory, 1024 GB SSD",1.4 kg,18.8 mm,"14.00""",2880x1800,glossy
3,86.2 %,07/2022,,"Acer Swift X SFX16-51G-5388
Intel Core i5-11320H
NVIDIA GeForce RTX 3050 4GB Laptop GPU
16 GB Memory, 512 GB SSD",1.8 kg,18.9 mm,"16.10""",1920x1080,matte
4,85.7 %,09/2022,,"Lenovo IdeaPad 5 Pro 16ARH7
AMD Ryzen 5 6600HS
AMD Radeon 660M
16 GB Memory, 512 GB SSD",1.9 kg,18.4 mm,"16.00""",2560x1600,matte
5,85.6 %,08/2022,,"HP Envy 14-eb0252ng
Intel Core i5-1135G7
Intel Iris Xe Graphics G7 80EUs
8 GB Memory, 1024 GB SSD",1.5 kg,17.9 mm,"14.00""",1920x1200,matte
