
Position,Total Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen
1,88.6 %,08/2023,,"Lenovo ThinkPad L14 G4 21H6S00900, AMD Ryzen 5 7530U, AMD Radeon RX Vega 7, 16 GB Memory, 512 GB SSD",1.5 kg,19.83 mm,"14.00""",1920x1080,matte
2,85.8 %,04/2023,,"Huawei MateBook D 14 2023, 53013PKG, Intel Core i5-1155G7, Intel Iris Xe Graphics G7 80EUs, 16 GB Memory, 512 GB SSD",1.4 kg,15.9 mm,"14.00""",1920x1080,matte
3,85.8 %,01/2024,,"Huawei MateBook 14 (KLV-W5651T), i5-1240P, Intel Core i5-1240P, Intel Iris Xe Graphics G7 80EUs, 16 GB Memory, 512 GB SSD",1.4 kg,15.9 mm,"14.00""",2160x1440,glossy
4,85.7 %,11/2023,,"Lenovo ThinkBook 16 G6 ABP, AMD Ryzen 5 7530U, AMD Radeon RX Vega 7, 16 GB Memory, 512 GB SSD",1.8 kg,17.5 mm,"16.00""",1920x1200,matte
5,85.6 %,11/2023,,"Acer Swift Go 14 SFG14-71, Intel Core i5-1335U, Intel Iris Xe Graphics G7 80EUs, 16 GB Memory, 512 GB SSD",1.3 kg,14.9 mm,"14.00""",2880x1800,glossy
6,85.5 %,11/2023,,"Lenovo ThinkPad E16 G1 Core i5-1335U, Intel Core i5-1335U, Intel Iris Xe Graphics G7 80EUs, 16 GB Memory, 512 GB SSD",1.8 kg,19.85 mm,"16.00""",1920x1200,matte
7,84.3 %,02/2023,,"Huawei MateBook D 15 2021, i5-1135G7, Intel Core i5-1135G7, Intel Iris Xe Graphics G7 80EUs, 8 GB Memory, 256 GB SSD",1.5 kg,16.9 mm,"15.60""",1920x1080,matte
8,83.6 %,03/2024,,"Ninkear A15 Plus (16+512), AMD Ryzen 7 5700U, AMD Radeon RX Vega 8 (Ryzen 4000/5000), 16 GB Memory, 512 GB SSD",1.8 kg,18.2 mm,"15.60""",1920x1080,matte
9,82.6 %,02/2023,,"Lenovo IdeaPad 3 14ALC6-82KT0077GE, AMD Ryzen 3 5300U, AMD Radeon RX Vega 6 (Ryzen 4000/5000), 8 GB Memory, 256 GB SSD",1.4 kg,19 mm,"14.00""",1920x1080,matte
10,82 %,"05/2024, New!",,"SCHENKER Work 14 Base, Intel Core i5-1235U, Intel Iris Xe Graphics G7 80EUs, 16 GB Memory, 500 GB SSD",1.3 kg,20.2 mm,"14.00""",1920x1080,matte
