Model,Image,Size,Refresh Rate,Resolution,Display Type,Surface,Ratio,PPI,Nits,CPU,GPU,Weight,Height,Price (RRP)
Acer Aspire 5 A515-43-R4HV,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R5 3500U,Vega 8,1.9 kg,18 mm,
Acer Aspire 5 A515-55-50QW,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i5-1035G1,UHD Graphics G1 (Ice Lake 32 EU),1.8 kg,17.9 mm,600 Euro
Acer Aspire 7 A715-42G-R69L,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R5 5500U,GeForce RTX 3050 4GB Laptop GPU,2.2 kg,23.35 mm,1000 Euro
Acer Aspire 7 A715-42G-R8BV,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,R5 5500U,GeForce RTX 3050 4GB Laptop GPU,2.2 kg,22.9 mm,
Acer Aspire 7 A715-43G-R83Y,,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,R7 5825U,GeForce RTX 3050 Ti Laptop GPU,2.2 kg,22.9 mm,
Acer Aspire 7 A715-51G-51BY,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-1240P,GeForce RTX 3050 Ti Laptop GPU,2.1 kg,19.9 mm,
Acer Aspire 7 A715-76G,,"15.60""",144 Hz,1920x1080,IPS,,16:9,141 PPI,,i5-12450H,GeForce GTX 1650 Mobile,2.1 kg,19.9 mm,
"Acer Aspire 7 A715-76G, i5-12450H RTX 2050",,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-12450H,GeForce RTX 2050 Mobile,2.1 kg,19.9 mm,
"Acer Aspire 7 A715-76G, i5-12450H RTX 3050",,"15.60""",144 Hz,1920x1080,IPS,,16:9,141 PPI,,i5-12450H,GeForce RTX 3050 4GB Laptop GPU,2.1 kg,19.9 mm,
Acer Aspire Nitro 5 AN515-44,,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,R7 4800H,GeForce GTX 1650 Ti Mobile,2.4 kg,23.9 mm,
Acer Aspire Nitro 5 AN515-44-R329,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,R5 4600H,GeForce GTX 1650 Mobile,2.4 kg,24 mm,
