Position,Total Rating,Date,Image,Model,Weight,Height,Size,Resolution,Screen
1,92.4 %,"03/2024 New!",,"Apple MacBook Air 13 M3 10C GPU Apple M3 Apple M3 10-Core GPU 16 GB Memory, 512 GB SSD",1.2 kg,11.3 mm,"13.60""",2560x1664,glossy
2,91.9 %,"07/2023",,"HP Dragonfly G4 Intel Core i7-1365U Intel Iris Xe Graphics G7 96EUs 16 GB Memory, 512 GB SSD",1.1 kg,16.3 mm,"13.50""",1920x1280,glossy
3,91.5 %,"11/2023",,"Asus ExpertBook B9 B9403CVA-KM0153X Intel Core i7-1355U Intel Iris Xe Graphics G7 96EUs 32 GB Memory, 1024 GB SSD",1 kg,17.6 mm,"14.00""",2880x1800,glossy
4,90.6 %,"06/2023",,"Lenovo ThinkPad X13 G3 21CM002UGE AMD Ryzen 5 PRO 6650U AMD Radeon 660M 16 GB Memory, 512 GB SSD",1.3 kg,18.1 mm,"13.30""",1920x1200,matte
5,90.2 %,"10/2023",,"Dell Latitude 13 7340 i5-1345U Intel Core i5-1345U Intel Iris Xe Graphics G7 80EUs 16 GB Memory, 512 GB SSD",1.1 kg,18.2 mm,"13.30""",1920x1200,matte
6,89.7 %,"09/2023",,"Lenovo ThinkPad X13 G4 21EX004QGE Intel Core i7-1355U Intel Iris Xe Graphics G7 96EUs 16 GB Memory, 1024 GB SSD",1.2 kg,15.95 mm,"13.30""",2880x1800,matte
7,89.5 %,"08/2023",,"Lenovo ThinkPad X1 Nano Gen 3 Intel Core i7-1360P Intel Iris Xe Graphics G7 96EUs 16 GB Memory, 512 GB SSD",989 g,14.8 mm,"13.00""",2160x1350,matte
8,89.2 %,"01/2023",,"HP EliteBook 835 G9 AMD Ryzen 7 PRO 6850U AMD Radeon 680M 16 GB Memory, 512 GB SSD",1.3 kg,19.2 mm,"13.30""",1920x1200,matte
9,89.1 %,"11/2023",,"Lenovo ThinkPad X1 Carbon G11 21HNS54T00 Intel Core i7-1370P Intel Iris Xe Graphics G7 96EUs 64 GB Memory, 2048 GB SSD",1.2 kg,15.36 mm,"14.00""",2880x1800,glossy
10,88.8 %,"10/2022",,"SCHENKER Vision 14 2022 RTX 3050 Ti Intel Core i7-12700H NVIDIA GeForce RTX 3050 Ti Laptop GPU 32 GB Memory, 1024 GB SSD",1.3 kg,16.6 mm,"14.00""",2880x1800,matte
