,Apple MacBook Pro 16 2023 M3 Max,Asus ROG Strix Scar 18 G834JYR (2024),Lenovo Legion Pro 7 16IRX9H,Asus ROG Zephyrus G14 GA402XY,HP Omen Transcend 16-u1095ng,Apple MacBook Pro 14 2023 M3 Max,Lenovo Legion 9 16IRX8,"Razer Blade 16 2024, RTX 4090",Razer Blade 14 RZ09-0508,Lenovo Legion Pro 5 16IRX9,"Lenovo Legion Pro 5 16IRX9, i7-14700HX, RTX 4060",SCHENKER XMG Evo 15 (M24),Asus ROG Zephyrus G16 GU605MY,Acer Predator Helios Neo 14 (2024),Asus Zenbook S16 UM5606,SCHENKER VIA 14 Pro (M24),HP ZBook Fury 16 G11
Display,
Display P3 Coverage,99.2,99.9,98.5,99.6,99.8,99.2,97.2,99.1,96.9,69.3,99.22,73.6,99.9,65,99.9,70.1,98.4
sRGB Coverage,,100,99.9,100,100,,99.9,99.9,99.8,99.4,99.93,100,100,95.3,100,97.7,99.9
AdobeRGB 1998 Coverage,,90,86.7,93.4,97,,87,95.6,85,70.1,87.81,74.2,96.9,66.8,95.6,72.3,86
Response Times,
Response Time Grey 50% / Grey 80% *,66.9 ?,12 ?,12.6 ?,17.2 ?,0.2 ?,80.8 ?,13.3 ?,0.24 ?,6 ?,11.9 ?,4.8 ?,4.6 ?,0.22 ?,5.4 ?,0.56 ?,31.1 ?,11.4 ?
Response Time Black / White *,43.6 ?,10.7 ?,5.8 ?,9.9 ?,0.2 ?,78.8 ?,11.6 ?,0.4 ?,8.3 ?,8.9 ?,9.2 ?,6.6 ?,0.25 ?,5.9 ?,0.65 ?,17.1 ?,8.4 ?
PWM Frequency,14877,5733 ?,,5430,120 ?,14878 ?,4742,960,,,,,960 ?,,480,,
Screen,
Brightness middle,630,937,487,535,390,610,674.9,418,484.1,384,518,608,416,450,407,466,457.6
Brightness,604,934,460,563,392,600,682,420,466,366,491,585,418,433,405,467,466
Brightness Distribution,94,89,88,91,98,96,96,98,89,91,90,93,96,87,97,94,83
Black Level *,,0.066,0.42,,0.02,,0.04,0.02,0.38,0.35,0.36,0.61,,0.45,0.02,0.29,0.43
Colorchecker dE 2000 *,1.2,1.52,1.12,1,1.94,1.7,2.56,1.07,2.23,0.97,4.32,2.1,1.6,2.26,0.6,2.5,2.78
Colorchecker dE 2000 max. *,2.8,2.82,2.26,2.8,4.26,2.3,4.16,4.04,4.57,3.57,6.37,4.3,2.1,7.5,1.2,6.1,5.53
Greyscale dE 2000 *,1.9,1.7,1.4,1.8,1.5,2.1,3,1.12,1.6,1.5,3.66,2.7,2.7,3.2,0.5,4.1,2
Gamma,2.29 96%,2.042 108%,2.242 98%,2.24 98%,2.221 99%,2.22 99%,2.38 92%,2.29 96%,2.24 98%,2.24 98%,2.19 100%,2.2 100%,2.16 102%,2.214 99%,2.2 100%,2.24 98%,2.28 96%
CCT,6812 95%,6578 99%,6809 95%,6337 103%,6395 102%,6874 95%,6799 96%,6417 101%,6816 95%,6709 97%,6841 95%,6168 105%,6331 103%,6121 106%,6453 101%,7386 88%,6806 96%
Contrast,,14197,1160,,19500,,16873,20900,1274,1097,1439,997,,1000,20350,1607,1064
Colorchecker dE 2000 calibrated *,,1.21,0.54,,4.21,,2.47,1.07,0.74,0.77,0.75,1.2,,1.21,,1.3,1.37
Noise,
off / environment *,23.7,24,24,23.3,24,24.8,23.7,23,24.3,23.9,23,24.7,24.6,24,24.7,25.7,23.2
Idle Minimum *,23.7,27,25,23.6,29,24.8,24,23,25,24.3,23,24.7,24.6,29,24.7,25.7,23.2
Idle Average *,23.7,28,30,23.6,30,24.8,24,23,25,24.3,23,24.7,27.8,31,24.7,25.7,23.2
Idle Maximum *,23.7,32,45,33,31,24.8,30.4,27.66,25,28.9,25,28.9,31.9,36,26.4,25.7,29.5
Load Average *,40.8,50,50,49.5,45,25.8,30.4,43.76,33,45.8,45.18,32.7,49.2,47,35.7,36.2,43
Witcher 3 ultra *,42.8,50,54,52.2,44,43.4,52.2,46.81,49.5,51,,,,,,,
Load Maximum *,42.8,52,56,52.2,47,43.4,54.9,50.37,51.9,56.6,53.13,40.4,52.3,52,36.8,43.6,48.2
Cyberpunk 2077 ultra *,,,,,,,,,,,52.69,40.4,52.3,50,36.8,43.6,48.2
Heat,
Maximum Upper Side *,42.3,49,46,47,49,45.9,49.6,45,41.8,43.8,50,41.7,45.9,57,46.9,44.6,42.2
Maximum Bottom *,42,47,49,46.5,63,42.1,48.6,45,42.2,55.4,57,49.6,47.5,55,53.5,50.9,48
Idle Upper Side *,22.5,29,38,25.9,30,23.4,33.2,29,34.8,32.8,36,31.1,26.1,32,29.5,26.5,37
Idle Bottom *,22.9,31,37,28,29,23.8,34.2,30,37.4,36,39,33.1,26.6,33,30.2,26.3,36.8
Battery Runtime,
H.264,1221,447,,431,,1077,,456,,,312,729,,555,1204,612,
WiFi v1.3,999,461,373,448,292,911,159,329,428,290,308,625,391,519,640,571,402
Load,71,77,,58,,73,58,79,72,65,105,134,,100,107,64,
Reader / Idle,,612,,,,,404,,480,403,,,,808,,,
